Rank,InfluencerNik,InfluencerName,Image,Categories,Followers,Country,EngAuth,EngAvg
37,carolinederpienski,CAROLINE MARIA DERPIENSKI,https://cdn.hypeauditor.com/img/instagram/user/3268978947.jpg?w=150&till=1707449430&sign=12eedd7a861b9707f3febbd415d9cd27,"""[Modeling]""",8.4M,Russia,40.5K,161.2K
38,abdu_rozik,Abduroziq Official,https://cdn.hypeauditor.com/img/instagram/user/21245651333.jpg?w=150&till=1707449430&sign=a1cc8e5bcaded46d30c31176d96b1b9a,"""[Music Shows]""",8.4M,Tajikistan,127.8K,160.1K
39,wengallbi_tm,Ахмед Алиасхабов,https://cdn.hypeauditor.com/img/instagram/user/50674785541.jpg?w=150&till=1707449430&sign=059e78f99977b58e137018de545969e2,"""[Cars & Motorbikes]""",4.7M,Russia,226.8K,273.7K
40,meryemuzerlimeryem,meryemuzerlimeryem,https://cdn.hypeauditor.com/img/instagram/user/260790825.jpg?w=150&till=1707449430&sign=aaa44165b424aa0308e3d8500e67a4dd,"""[Cinema & Actors/actresses]""",7.7M,Russia,126.6K,165.1K
41,kvara7,Khvicha Kvaratskhelia,https://cdn.hypeauditor.com/img/instagram/user/3660714283.jpg?w=150&till=1707449430&sign=638c79cffebc1b1684e584fbd6268d55,"""[]""",3.6M,Italy,298.6K,352.5K
42,justking31,Nurtaza Nurbek,https://cdn.hypeauditor.com/img/instagram/user/996704066.jpg?w=150&till=1707449430&sign=8303bc607548c403b93585ee8c75ff78,"""[Humor & Fun & Happiness Family]""",6.8M,Kazakhstan,127.7K,182.7K
43,urgantcom,Иван Ургант,https://cdn.hypeauditor.com/img/instagram/user/336735088.jpg?w=150&till=1707449430&sign=2bdbb3c302e43b41653f1496960cba99,"""[Shows Cinema & Actors/actresses]""",11.9M,Russia,89.6K,100.9K
44,luna_the_pantera,Luna,https://cdn.hypeauditor.com/img/instagram/user/42622611997.jpg?w=150&till=1707449430&sign=64a85c1d722561bedbba2343a02eea7e,"""[Lifestyle Animals]""",4.8M,Russia,195.2K,249.5K
45,jcvd,Jean-Claude Van Damme,https://cdn.hypeauditor.com/img/instagram/user/1628922626.jpg?w=150&till=1707449430&sign=c06f6ca3ab471b70c8204c9a31a6e4e8,"""[Cinema & Actors/actresses]""",8.1M,United States,112.6K,145.4K
46,andreybatt,ANDREY BATT,https://cdn.hypeauditor.com/img/instagram/user/12568850.jpg?w=150&till=1707449430&sign=242b0d9beb56882e54ed988e3b30c7c0,"""[]""",11M,Russia,88.9K,104K
47,nadin_serovski,Nadin Serovski,https://cdn.hypeauditor.com/img/instagram/user/253473497.jpg?w=150&till=1707449430&sign=987d90571537d809ff9eff584be6afe8,"""[Family Lifestyle]""",9.3M,Russia,28.1K,116.4K
48,francesconappoph,Francesco Nappo,https://cdn.hypeauditor.com/img/instagram/user/345576016.jpg?w=150&till=1707449430&sign=c2a56346ee678a52bd77254596105a38,"""[Photography]""",7.1M,Russia,115.9K,151.1K
49,kateclapp,Kate Clapp / Катя Клэп,https://cdn.hypeauditor.com/img/instagram/user/5697152.jpg?w=150&till=1707449430&sign=e95823e4b93b590d02ad975fabf07bfd,"""[Shows]""",10.2M,Russia,91.6K,100.7K
50,katyagorod,Ekaterina Gorodnicheva,https://cdn.hypeauditor.com/img/instagram/user/336386831.jpg?w=150&till=1707449430&sign=760ebd2332d3bdf94142c0e6a884c319,"""[Travel Lifestyle]""",6.3M,Russia,74.5K,162K
